quote_text,speaker,chapter,book,code
"""The sun persists in rising, so I make myself stand.""",Katniss,1,Catching Fire,Symbolic
"""But the Victory Tour makes that impossible. Strategically placed almost midway between the annual Games, it is the Capitols way of keeping the horror fresh and immediate. Not only are we in the districts forced to remember the iron grip of the Capitols power each year, we are forced to celebrate it.""",Katniss,1,Catching Fire,Cultural
"""Its just one more part of the lie the Capitol has concocted.""",Katniss,1,Catching Fire,Cultural
"""Katniss Everdeen, the girl who was on fire, you have provided a spark that, left unattended, may grow to an inferno that destroys Panem,""",Snow,2,Catching Fire,Cultural
"""But when the Capitol decrees that only one tribute can live and you have the audacity to challenge it, I guess thats a rebellion in itself.""",Katniss,2,Catching Fire,Cultural
"""My advisors were concerned you would be difficult, but youre not planning on being difficult, are you?""",Snow,2,Catching Fire,Hermeneutic
"""After that, there was nothing to do but let you play out your little scenario. And you were pretty good, too, with the love-crazed schoolgirl bit. The people in the Capitol were quite convinced. Unfortunately, not everyone in the districts fell for your act,""",Snow,2,Catching Fire,Cultural
"""This, of course, you dont know. You have no access to information about the mood in other districts. In several of them, however, people viewed your little trick with the berries as an act of defiance, not an act of love. And if a girl from District Twelve of all places can defy the Capitol and walk away unharmed, what is to stop them from doing the same? What is to prevent, say, an uprising?""",Snow,2,Catching Fire,Cultural
"""But theyll follow if the course of things doesnt change. And uprisings have been known to lead to revolution.""",Snow,2,Catching Fire,Proairetic
"""How stupid Ive been to think the Capitol would just ignore me once Id returned home! Maybe I didnt know about the potential uprisings. But I knew they were angry with me. Instead of acting with the extreme caution the situation called for, what have I done?""",Katniss,2,Catching Fire,Cultural
"""A visit from President Snow. Districts on the verge of uprisings. A direct death threat to Gale, with others to follow. Everyone I love doomed. And who knows who else will pay for my actions? Unless I turn things around on this tour. Quiet the discontent and put the presidents mind at rest. And how? By proving to the country beyond any shadow of a doubt that I love Peeta Mellark.""",Katniss,3,Catching Fire,Cultural
"""Who else will I fail to save from the Capitols vengeance? Who else will be dead if I dont satisfy President Snow?""",Katniss,3,Catching Fire,Cultural
"""Then you can't fail.""",Haymitch,3,Catching Fire,Symbolic
"""What happens next is not an accident. It is too well executed to be spontaneous, because it happens in complete unison. Every person in the crowd presses the three middle fingers of their left hand against their lips and extends them to me. It's our sign from District 12, the last good-bye I gave Rue in the arena.""",Katniss,4,Catching Fire,Cultural
"""One of the few freedoms we have in District 12 is the right to marry who we want or not marry at all. And now even that has been taken away from me.""",Katniss,4,Catching Fire,Cultural
"""If she had won, Rue would never have let my death go unsung. I remember how I took care in the arena to cover her with flowers, to make sure her loss did not go unnoticed. But that gesture will mean nothing if I dont support it now.""",Katniss,4,Catching Fire,Cultural
"""For his power. For his refusal to play the Games on anyones terms but his own. The Careers wanted him to team up with them from the beginning, but he wouldnt do it. I respected him for that.""",Katniss,4,Catching Fire,Cultural
"""Thank you for your children.""",Katniss,4,Catching Fire,Symbolic
"""If I hadnt spoken to President Snow, this gesture might move me to tears. But with his recent orders to calm the districts fresh in my ears, it fills me with dread. What will he think of this very public salute to the girl who defied the Capitol?""",Katniss,4,Catching Fire,Cultural
"""The full impact of what Ive done hits me. It was not intentional  I only meant to express my thanks  but I have elicited something dangerous. An act of dissent from the people of District 11. This is exactly the kind of thing I am supposed to be defusing!""",Katniss,4,Catching Fire,Cultural
"""A pair of Peacekeepers dragging the old man who whistled to the top of the steps. Forcing him to his knees before the crowd. And putting a bullet through his head.""",Katniss,4,Catching Fire,Cultural
"""Youll see, the choices youll have to make. If we survive this, you'll learn.""",Haymitch,4,Catching Fire,Not applicable
"""Here in 11, they suffer more acutely and feel more desperation. President Snow is right. A spark could be enough to set them ablaze.""",Katniss,4,Catching Fire,Cultural
"""Even without our personal speeches to trigger dissent  needless to say the ones we gave in District 11 were edited out before the event was broadcast  you can feel something in the air, the rolling boil of a pot about to run over.""",Katniss,5,Catching Fire,Cultural
"""But in others  particularly 8, 4, and 3  there is genuine elation in the faces of the people at the sight of us, and under the elation, fury. When they chant my name, it is more of a cry for vengeance than a cheer. When the Peacekeepers move in to quiet an unruly crowd, it presses back instead of retreating. And I know that theres nothing I could ever do to change this. No show of love, however believable, will turn this tide. If my holding out those berries was an act of temporary insanity, then these people will embrace insanity, too.""",Katniss,5,Catching Fire,Cultural
"""There is no danger of an uprising here among the privileged, among those whose names are never placed in the reaping balls, whose children never die for the supposed crimes committed generations ago.""",Katniss,5,Catching Fire,Cultural
"""That if desperate times call for desperate measures, then I am free to act as desperately as I wish.""",Katniss,6,Catching Fire,Semic
"""Plutarch has run his thumb across the crystal face of the watch and for just a moment an image appears, glowing as if lit by candlelight. Its another mockingjay. Exactly like the pin on my dress. Only this one disappears. He snaps the watch closed.""",Katniss,6,Catching Fire,Cultural
"""Below them, theres a mob scene. The squares packed with screaming people, their faces hidden with rags and homemade masks, throwing bricks. Buildings burn. Peacekeepers shoot into the crowd, killing at random. Ive never seen anything like it, but I can only be witnessing one thing. This is what President Snow calls an uprising.""",Katniss,6,Catching Fire,Cultural
"""But Mockingjays were never a weapon, they're just songbirds. Right?"" ",Madge,7,Catching Fire,Cultural
"""A mockingbird is just a songbird. A mockingjay is a creature that Capitol never intended to exist. They hadn't counted on the highly controlled jabberjay having the brains to adapt to the wild, pass on its genetic code, to thrive in a new form. They hadn't anticipated its will to live.""",Katniss,7,Catching Fire,Cultural
"""Gale, I cant think about anyone that way now. All I can think about, every day, every waking minute since they drew Prims name at the reaping, is how afraid I am. And there doesnt seem to be room for anything else. If we could get somewhere safe, maybe I could be different. I dont know.""",Katniss,7,Catching Fire,Cultural
"""I saw something on the mayors television. I wasnt supposed to. There was a crowd, and fires, and the Peacekeepers were gunning people down but they were fighting back""",Katniss,7,Catching Fire,Cultural
"""Safe to do what? Starve? Work like slaves? Send their kids to the reaping? You havent hurt people  youve given them an opportunity. They just have to be brave enough to take it. Theres already been talk in the mines. People who want to fight. Dont you see? Its happening! Its finally happening! If theres an uprising in District Eight, why not here? Why not everywhere? This could be it, the thing weve been """,Gale,7,Catching Fire,Cultural
"""It cant be about just saving us anymore. Not if the rebellions begun!""",Gale,7,Catching Fire,Not applicable
"""I changed my mind. I dont want anything they made in the Capitol.""",Gale,7,Catching Fire,Cultural
"""Its too late to stop the arm from descending, and I instinctively know I wont have the power to block it. Instead I throw myself directly between the whip and Gale. Ive flung out my arms to protect as much of his broken body as possible, so theres nothing to deflect the lash. I take the full force of it across the left side of my face.""",Katniss,8,Catching Fire,Proairetic
"""After about twenty lashes, he stepped in, saying that was enough. Only he didnt do it smart and official, like Purnia did. He grabbed Threads arm and Thread hit him in the head with the butt of the whip. Nothing good waiting for him""",Bristel,8,Catching Fire,Symbolic
"""But if I held them out to defy the Capitol, I am someone of worth.""",Katniss,8,Catching Fire,Cultural
"""Could it be the people in the districts are right? That it was an act of rebellion, even if it was an unconscious one?""",Katniss,8,Catching Fire,Cultural
"""I can't let the Capitol hurt Prim. And then it hits me. They already have. They have killed her father in those wretched mins. They have sat by as she almost starved to death. They have chosen her as a tribute, then made her watch her sister fight to the death in the Games. She has been hurt far worse than I had at the age of twelve. And even that pales in comparison to Rue's life.""",Katniss,9,Catching Fire,Cultural
"""This may be enough to keep the real wolves, also known as the Peacekeepers, from my door.""",Katniss,9,Catching Fire,Cultural
"""Fighting the Capitol assures their swift retaliation. I must accept that at any moment I can be arrested. There will be a knock on the door, like the one last night, a band of Peacekeepers to haul me away. There might be torture. Mutilation. A bullet through my skull in the town square, if Im fortunate enough to go that quickly. The Capitol has no end of creative ways to kill people. I imagine these things and Im terrified, but lets face it: Theyve been lurking in the back of my brain, anyway. Ive been a tribute in the Games. Been threatened by the president. Taken a lash across my face. Im already a target.""",Katniss,9,Catching Fire,Cultural
"""So many, so clearly acting in defiance of the Capitol. Was it even planned, or something that simply erupted out of years of hatred and resentment? How could we do that here? Would the people of District 12 join in or lock their doors? Yesterday the square emptied so quickly after Gales whipping. But isnt that because we all feel so impotent and have no idea what to do?""",Katniss,9,Catching Fire,Cultural
"""We need someone to direct us and reassure us this is possible. And I dont think Im that person. I may have been a catalyst for rebellion, but a leader should be someone with conviction, and Im barely a convert myself. Someone with unflinching courage, and Im still working hard at even finding mine. Someone with clear and persuasive words, and Im so easily tongue-tied.""",Katniss,9,Catching Fire,Semic
"""How people embrace everything he says. He could move a crowd to action, I bet, if he chose to.""",Katniss,9,Catching Fire,Hermeneutic
"""I want to start an uprising,""",Katniss,9,Catching Fire,Proairetic
"""An uprising requires breaking the law, thwarting authority. Weve done that our whole lives, or our families have. Poaching, trading on the black market, mocking the Capitol in the woods. But for most people in District 12, a trip to buy something at the Hob would be too risky. And I expect them to assemble in the square with bricks and torches? Even the sight of Peeta and me is enough to make people pull their children away from the windows and draw the curtains tightly.""",Katniss,9,Catching Fire,Cultural
"""The mines stay shut for two weeks, and by that time half of District 12 is starving. The number of kids signing up for tesserae soars, but they often dont receive their grain. Food shortages begin, and even those with money come away from stores empty-handed. When the mines reopen, wages are cut, hours extended, miners sent into blatantly dangerous work sites. The eagerly awaited food promised for Parcel Day arrives spoiled and defiled by rodents. The installations in the square see plenty of action as people are dragged in and punished for offenses so long overlooked weve forgotten they are illegal.""",Katniss,9,Catching Fire,Cultural
"""But an image is clearly stamped in the center of it. Its my mockingjay.""",Katniss,9,Catching Fire,Cultural
"""It means were on your side""",Bonnie,10,Catching Fire,Not applicable
"""Weve run away from District Eight.""",Twill,10,Catching Fire,Cultural
"""Ever since the Hunger Games, the discontent in District 8 had been growing.""",Katniss,10,Catching Fire,Cultural
"""It was always there, of course, to some degree. But what differed was that talk was no longer sufficient, and the idea of taking action went from a wish to a reality.""",Katniss,10,Catching Fire,Symbolic
"""The textile factories that service Panem are loud with machinery, and the din also allowed word to pass safely, a pair of lips close to an ear, words unnoticed, unchecked.""",Katniss,10,Catching Fire,Cultural
"""it was understood that, once the uprising began, it would be crucial to get word of it out beyond District 8 if it were to spread and be successful.""",Katniss,10,Catching Fire,Cultural
"""The day Peeta and I came through and made our Victory Tour appearance was actually a rehearsal of sorts. People in the crowd positioned themselves according to their teams, next to the buildings they would target when the rebellion broke out. """,Katniss,10,Catching Fire,Cultural
"""That was the plan: to take over the centers of power in the city like the Justice Building, the Peacekeepers Headquarters, and the Communication Center in the square. And at other locations in the district: the railroad, the granary, the power station, and the armory.""",Katniss,10,Catching Fire,Cultural
"""Instead everyone was in place by the appointed hour, eight oclock, when the masks went on and all hell broke loose.""",Katniss,10,Catching Fire,Not applicable
"""Taken by surprise and overwhelmed by sheer numbers, the Peacekeepers were initially overcome by the crowds.""",Katniss,10,Catching Fire,Cultural
"""As the Peacekeepers fell, weapons were appropriated for the rebels. There was hope that this had not been an act of madness, that in some way, if they could get the word out to other districts, an actual overthrow of the government in the Capitol might be possible.""",Katniss,10,Catching Fire,Cultural
"""Hovercraft bombed the rebel strongholds into ashes. In the utter chaos that followed, it was all people could do to make it back to their homes alive.""",Katniss,10,Catching Fire,Symbolic
"""Someone must have told the Capitol that the idea for the uprising had started there,""",Twill,10,Catching Fire,Cultural
"""I have people on my side? What side? Am I unwittingly the face of the hoped-for rebellion? Has the mockingjay on my pin become a symbol of resistance?""",Katniss,10,Catching Fire,Cultural
"""I want to be doing something, finding out more about District 13 or helping in the cause to bring down the Capitol.""",Katniss,12,Catching Fire,Cultural
"""The barely concealed rage in the crowd during the Victory Tour. And suddenly I am absolutely sure that District 4 has revolted.""",Katniss,12,Catching Fire,Cultural
"""The thought of such widespread rebellion has me quivering with fear and excitement.""",Katniss,12,Catching Fire,Symbolic
"""In a few minutes Ive updated him and hes told me about rumors of uprisings in Districts 7 and 11 as well. If my hunches are right, this would mean almost half the districts have at least attempted to rebel.""",Katniss,12,Catching Fire,Cultural
"""Not yet. Those other districts, theyre much larger. Even if half the people cower in their homes, the rebels stand a chance. Here in Twelve, its got to be all of us or nothing""",Haymitch,12,Catching Fire,Cultural
"""I gather that the rumblings of an uprising in 12 have been subdued by Threads crackdown. He knows Im not going to run. But he must also know that if we dont revolt in 12, Im destined to be Peetas bride.""",Katniss,12,Catching Fire,Proairetic
"""It would call for a glorified version of the Games to make fresh the memory of those killed by the districts rebellion.""",Katniss,12,Catching Fire,Cultural
"""On the seventy-fifth anniversary, as a reminder to the rebels that even the strongest among them cannot overcome the power of the Capitol, the male and female tributes will be reaped from their existing pool of victors.""",Snow,12,Catching Fire,Cultural
"""Theyre the ones who survived the arena and slipped the noose of poverty that strangles the rest of us. They, or should I say we, are the very embodiment of hope where there is no hope. And now twenty-three of us will be killed to show how even that hope was an illusion.""",Katniss,13,Catching Fire,Cultural
"""I open my mouth, planning to start off with some kind of joke, and burst into tears. So much for being strong.""",Katniss,13,Catching Fire,Proairetic
"""When I bring it up, Haymitch says the last thing President Snow wouldve wanted was to show Peeta and me  especially me  bonding with other victors in potentially rebellious districts. Victors have a special status, and if they appeared to be supporting my defiance of the Capitol, it wouldve been dangerous politically.""",Katniss,13,Catching Fire,Cultural
"""Evidently, Effie doesnt know that my mockingjay pin is now a symbol used by the rebels""",Katniss,14,Catching Fire,Cultural
"""Real rebels dont put a secret symbol on something as durable as jewelry. They put it on a wafer of bread that can be eaten in a second if necessary.""",Katniss,14,Catching Fire,Symbolic
"""I can't help catching glimpses of us on the huge screens along the route, and we are not just beautiful, we are dark and powerful. No, more. We star-crossed lovers from District 12, who suffered so much and enjoyed so little the rewards of our victory, do not seek the fans' favor, grace them with our smiles, or catch their kisses. We are unforgiving. And I love it. Getting to be myself at last.""",Katniss,15,Catching Fire,Cultural
"""But maybe they know too much about the victors, especially the ones whove been celebrities for ages, to forget were human beings. Its more like watching your own friends die. More like the Games are for those of us in the districts.""",Katniss,15,Catching Fire,Cultural
"""Katniss, the girl on fire, has left behind her flickering flames and bejeweled gowns and soft candlelight frocks. She is as deadly as fire itself.""",Katniss,15,Catching Fire,Symbolic
"""To break through the smug veneer of those who use their brains to find amusing ways to kill us. To make them realize that while were vulnerable to the Capitols cruelties, they are as well.""",Katniss,16,Catching Fire,Cultural
"""But they are so smart, so wonderfully smart about how they play it, because it all comes back to reflect on the government and President Snow in particular.""",Katniss,17,Catching Fire,Cultural
"""Im not sure. I just wanted to hold them accountable, if only for a moment, For killing that little girl.""",Peeta,17,Catching Fire,Not applicable
"""I remember the old man they shot in District 11, and Bonnie and Twill, and the rumored uprisings. Yes, everyone in the districts will be watching me to see how I handle this death sentence, this final act of President Snows dominance. They will be looking for some sign that their battles have not been in vain. If I can make it clear that Im still defying the Capitol right up to the end, the Capitol will have killed me . . . but not my spirit. What better way to give hope to the rebels?""",Katniss,17,Catching Fire,Cultural
"""The beauty of this idea is that my decision to keep Peeta alive at the expense of my own life is itself an act of defiance. A refusal to play the Hunger Games by the Capitols rules. My private agenda dovetails completely with my public one. And if I really could save Peeta . . . in terms of a revolution, this would be ideal. Because I will be more valuable dead. They can turn me into some kind of martyr for the cause and paint my face on banners, and it will do more to rally people than anything I could do if I was living. But Peeta would be more valuable alive, and tragic, because he will be able to turn his pain into words that will transform people.""",Katniss,17,Catching Fire,Cultural
"""This is the first time I realize the depth of betrayal felt among the victors and the rage that accompanies it. But they are so smart, so wonderfully smart about how they play it, because it all comes back to reflect on the government and President Snow in particular.""",Katniss,17,Catching Fire,Cultural
"""But there are enough victors who still have the wits and the nerve to come out fighting.""",Katniss,17,Catching Fire,Cultural
"""By the time Im introduced, the audience is an absolute wreck. People have been weeping and collapsing and even calling for change. The sight of me in my white silk bridal gown practically causes a riot.""",Katniss,17,Catching Fire,Not applicable
"""Because Cinna has turned me into a Mockingjay""",Katniss,17,Catching Fire,Cultural
"""By the time the anthem plays its final strains, all twenty-four of us stand in one unbrowken line in what must be the first public show of unity among the districts since the Dark Days.""",Katniss,18,Catching Fire,Cultural
"""I can tell he knows that the mockingjay isnt just my token. That its come to symbolize so much more. That what will be seen as a flashy costume change in the Capitol is resonating in an entirely different way throughout the districts.""",Katniss,18,Catching Fire,Cultural
"""What has he done? Something terribly dangerous. An act of rebellion in itself. And hes done it for me.""",Katniss,18,Catching Fire,Hermeneutic
"""Maybe this year he has only lit the fuse on a bomb that the victors themselves have been building. Hoping someone would be able to detonate it.""",Katniss,18,Catching Fire,Cultural
"""As the bomb explodes, it sends accusations of injustice and barbarism and cruelty flying out in every direction. Even the most Capitol-loving, Games-hungry, bloodthirsty person out there cant ignore, at least for a moment, how horrific the whole thing is.""",Katniss,18,Catching Fire,Cultural
"""You can see the realization of this as the screens begin to pop into blackness. Its too late, though. In the confusion they didnt cut us off in time. Everyone has seen.""",Katniss,18,Catching Fire,Not applicable
"""I dont think they know themselves what to ask. The whole situation is unprecedented. Even the idea of opposing the Capitols agenda is a source of confusion for the people here,""",Haymitch,18,Catching Fire,Cultural
"""You just remember who the enemy is""",Haymitch,18,Catching Fire,Proairetic
"""I must be strong. I owe it to Cinna, who risked everything by undermining President Snow and turning my bridal silk into mockingjay plumage. And I owe it to the rebels who, emboldened by Cinnas example, might be fighting to bring down the Capitol at this moment. My refusal to play the Games on the Capitols terms is to be my last act of rebellion.""",Katniss,19,Catching Fire,Cultural
"""That the victors chain of locked hands last night would result in some sort of universal truce in the arena? No, I never believed that. But I guess I had hoped people might show some . . . what? Restraint? Reluctance, at least. Before they jumped right into massacre mode.""",Katniss,19,Catching Fire,Cultural
"""Hes my friend, and this is my way to defy the Capitol, to subvert its terrible Games.""",Katniss,23,Catching Fire,Cultural
"""He can use words. He obliterated the rest of the field at both interviews. And maybe its because of that underlying goodness that he can move a crowd  no, a country  to his side with the turn of a simple sentence.""",Katniss,23,Catching Fire,Proairetic
"""I remember thinking that was the gift the leader of our revolution should have. Has Haymitch convinced the others of this? That Peetas tongue would have far greater power against the Capitol than any physical strength the rest of us could claim?""",Katniss,23,Catching Fire,Cultural
"""I have always known who the enemy is. Who starves and tortures and kills us in the arena. Who will soon kill everyone I love.""",Katniss,26,Catching Fire,Cultural
"""The chink in the armor. """,Katniss,26,Catching Fire,Symbolic
"""To punish Haymitch, who, of all the people in this rotting world, has turned Peeta and me into pieces of his Games. I trusted him. I put what was precious in Haymitch's hands. And he has betrayed me.""",Katniss,27,Catching Fire,Cultural
"""Or perhaps my final act of rebellion forced their hand.""",Katniss,27,Catching Fire,Not applicable
"""Meanwhile, most of the districts in Panem are in full-scale rebellion.""",Katniss,28,Catching Fire,Cultural
"""We had to save you because youre the mockingjay, Katniss. While you live, the revolution lives.""",Plutarch,28,Catching Fire,Cultural
"""The bird, the pin, the song, the berries, the watch, the cracker, the dress that burst into flames. I am the mockingjay. The one that survived despite the Capitols plans. The symbol of the rebellion.""",Katniss,28,Catching Fire,Cultural
"""Also, the drugs they use to control my pain and mood sometimes make me see things.""",Katniss,1,Mockingjay,Symbolic
"""The citizens of District 12 had no organized resistance movement of their own. No say in any of this. They only had the misfortune to have me.""",Katniss,1,Mockingjay,Cultural
"""But a man named Dalton, a District 10 refugee who'd made it to 13 on foot a few years ago, leaked the real motive to me.""",Katniss,1,Mockingjay,Cultural
"""They were safe. They were being cared for. They were alive and eagerly welcomed.""",Katniss,1,Mockingjay,Symbolic
"""They need you. Me. They need us all.""",Dalton,1,Mockingjay,Not applicable
"""Awhile back, there was some sort of pox epidemic that killed a bunch of them and left a lot more infertile. New breeding stock. That's how they see us.""",Dalton,1,Mockingjay,Not applicable
"""What they want is for me to truly take on the role they designed for me. The symbol of the revolution.""",Katniss,1,Mockingjay,Symbolic
"""I won't have to do it alone. They have a whole team of people to make me over, dress me, write my speeches, orchestrate my appearances - as if that doesn't sound horribly familiar - and all I have to do is play my part.""",Katniss,1,Mockingjay,Not applicable
"""If I knew for sure that he was dead, I could just disappear into the woods and never look back. But until I do, I'm stuck.""",Katniss,1,Mockingjay,Proairetic
"""Positioned on my dresser, that white-as-snow rose is a personal message to me. IT speaks of unfinished business. It whispers, I can find you. I can reach you. Perhaps I am watching you now.""",Katniss,1,Mockingjay,Symbolic
"""Another force to contend with. Another power player who has decided to use me as a piece in her games, although things never seem to go according to plan.""",Katniss,5,Mockingjay,Cultural
"""First there was the Gamemakers, making me their star and then scrambling to recover from that handful of poisonous berries.""",Katniss,5,Mockingjay,Not applicable
"""Then there was President Snow, trying to use me to put out the flames of rebellion, only to have mye very move become inflammatory.""",Katniss,5,Mockingjay,Cultural
"""Next, the rebels ensnaring me in the metal claw that lifted me from the areana, designating me to be their Mockingjay, and then having to recover from the shock that I might not want their wings.""",Katniss,5,Mockingjay,Cultural
"""And now Coin, with her fistful of precious nukes and her well-oiled machine of a district, finding it's even harder to groom a Mockingjay than to catch one. But she has been the quickest to determine that I have an agenda of my own and am therefore not to be trusted. She has been the first to publicly brand me as a threat.""",Katniss,5,Mockingjay,Cultural
"""She's still a girl and you made her look thirty-five. Feels wrong. Like something the Capitol would do.""",Dalton,6,Mockingjay,Cultural
"""We're still in the game.""",Katniss,6,Mockingjay,Symbolic
"""Still in. And I'm still your mentor. When you're on the ground, remember I'm airborn. I'll have the better view, so do what I tell you.""",Haymitch,6,Mockingjay,Cultural
"""We could've nuked them with missles, yes. But there's always the larger question: If we engage in that type of war with the Capitol, would there be any human life left?",Boggs,6,Mockingjay,Cultural
"""That sounds like what Peeta said. And you called him a traitor.""",Katniss,6,Mockingjay,Not applicable
"""Everyone, we're going to form a republic where the people of each district and the Capitol can elect their own representatives to be their voice in a centralized government. Don't look so suspicious; it's worked before.""",Plutarch,6,Mockingjay,Cultural
"""In history books, and if our ancestors could do it, then we can, too.""",Plutarch,6,Mockingjay,Not applicable
"""Frankly, our ancestors don't seem much to brag about. I mean, look at the state they left us in, with the wars and the broken planet. Clearly, they didn't care about what would happen to the people who came after them. But this republic idea sounds like an improvement over our current governemnt.""",Katniss,6,Mockingjay,Proairetic
"""We have no real hospitals in the districts. We die at home, which at the moment seems a far desirable alternative to what lies infront of me. Then I remember that many of these people probably lost their homes in the bombings.""",Katniss,7,Mockingjay,Cultural
"""My ongoing struggle against the Capitol, which has so often felt like a solitary journey, has not been undertaken alone. I have had thousands upon thousands of people from the districts at my side. I was their Mockingjay long before I accepted the role.""",Katniss,7,Mockingjay,Cultural
"""Why would they do that? Why would they target people who were already dying?""",Katniss,7,Mockingjay,Symbolic
